Charm++> Running on Gemini (GNI) with 66 processes
Charm++> static SMSG
Charm++> SMSG memory: 325.9KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 66,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 3 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 32
EXCHANGE_ACCEPT 0 (3) 1 (2) RUN 84
EXCHANGE_ACCEPT 26 (26) 27 (25) RUN 84
EXCHANGE_ACCEPT 22 (23) 23 (17) RUN 84
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 84
EXCHANGE_ACCEPT 18 (15) 19 (24) RUN 84
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 85
EXCHANGE_ACCEPT 9 (7) 10 (10) RUN 85
EXCHANGE_ACCEPT 19 (15) 20 (20) RUN 85
EXCHANGE_ACCEPT 20 (15) 21 (21) RUN 86
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 87
EXCHANGE_ACCEPT 5 (8) 6 (4) RUN 87
EXCHANGE_ACCEPT 29 (29) 30 (30) RUN 87
EXCHANGE_ACCEPT 19 (20) 20 (21) RUN 87
EXCHANGE_ACCEPT 26 (25) 27 (26) RUN 88
EXCHANGE_ACCEPT 20 (20) 21 (15) RUN 88
EXCHANGE_ACCEPT 16 (16) 17 (18) RUN 88
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 89
EXCHANGE_ACCEPT 3 (0) 4 (5) RUN 89
EXCHANGE_ACCEPT 19 (21) 20 (15) RUN 89
EXCHANGE_ACCEPT 11 (11) 12 (9) RUN 89
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 91
EXCHANGE_ACCEPT 1 (3) 2 (1) RUN 91
EXCHANGE_ACCEPT 24 (22) 25 (27) RUN 92
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 92
EXCHANGE_ACCEPT 12 (11) 13 (14) RUN 92
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 93
EXCHANGE_ACCEPT 29 (30) 30 (29) RUN 93
EXCHANGE_ACCEPT 21 (21) 22 (17) RUN 93
EXCHANGE_ACCEPT 19 (15) 20 (20) RUN 93
EXCHANGE_ACCEPT 12 (14) 13 (11) RUN 94
EXCHANGE_ACCEPT 14 (19) 15 (13) RUN 94
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 95
EXCHANGE_ACCEPT 24 (27) 25 (22) RUN 96
EXCHANGE_ACCEPT 20 (15) 21 (17) RUN 96
EXCHANGE_ACCEPT 25 (27) 26 (26) RUN 97
EXCHANGE_ACCEPT 0 (2) 1 (1) RUN 98
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 99
EXCHANGE_ACCEPT 21 (15) 22 (21) RUN 99
EXCHANGE_ACCEPT 19 (20) 20 (17) RUN 99
EXCHANGE_ACCEPT 0 (1) 1 (2) RUN 100
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 100
EXCHANGE_ACCEPT 10 (7) 11 (9) RUN 100
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 101
EXCHANGE_ACCEPT 5 (4) 6 (8) RUN 101
EXCHANGE_ACCEPT 19 (17) 20 (21) RUN 101
EXCHANGE_ACCEPT 15 (19) 16 (18) RUN 101
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 103
EXCHANGE_ACCEPT 21 (20) 22 (15) RUN 103
EXCHANGE_ACCEPT 20 (17) 21 (15) RUN 104
EXCHANGE_ACCEPT 21 (17) 22 (20) RUN 105
EXCHANGE_ACCEPT 19 (21) 20 (15) RUN 105
EXCHANGE_ACCEPT 9 (10) 10 (9) RUN 105
EXCHANGE_ACCEPT 15 (18) 16 (19) RUN 105
EXCHANGE_ACCEPT 0 (2) 1 (1) RUN 106
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 106
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 107
EXCHANGE_ACCEPT 3 (5) 4 (0) RUN 107
EXCHANGE_ACCEPT 21 (21) 22 (17) RUN 107
